Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-3.166997	-3.166997
1	0.950747	7500	-3.137747	-6.304744
2	0.926679	7500	-3.095856	-9.400600
3	0.902980	7500	-3.043735	-12.444336
4	0.879648	7500	-3.004252	-15.448588
5	0.856682	7500	-2.953187	-18.401775
6	0.834079	7500	-2.905819	-21.307595
7	0.811838	7500	-2.860782	-24.168376
8	0.789957	7500	-2.872444	-27.040821
9	0.768433	7500	-2.798979	-29.839799
10	0.747266	7500	-2.718178	-32.557977
11	0.726452	7500	-2.670735	-35.228712
12	0.705989	7500	-2.744291	-37.973003
13	0.685877	7500	-2.688985	-40.661987
14	0.666112	7500	-2.655618	-43.317606
15	0.646693	7500	-2.517257	-45.834863
16	0.627618	7500	-2.459367	-48.294230
17	0.608884	7500	-2.420964	-50.715194
18	0.590490	7500	-2.377371	-53.092565
19	0.572433	7500	-2.334264	-55.426829
20	0.554712	7500	-2.284750	-57.711579
21	0.537324	7500	-2.248604	-59.960183
22	0.520268	7500	-2.247757	-62.207940
23	0.503540	7500	-2.262030	-64.469970
24	0.487139	7500	-2.224980	-66.694951
25	0.471063	7500	-2.148537	-68.843488
26	0.455310	7500	-2.047059	-70.890547
27	0.439877	7500	-2.002177	-72.892724
28	0.424762	7500	-2.040878	-74.933602
29	0.409963	7500	-1.920839	-76.854441
30	0.395478	7500	-1.881868	-78.736309
31	0.381305	7500	-1.869465	-80.605774
32	0.367440	7500	-1.893228	-82.499002
33	0.353883	7500	-1.802714	-84.301716
34	0.340630	7500	-1.797200	-86.098916
35	0.327680	7500	-1.775323	-87.874239
36	0.315030	7500	-1.670894	-89.545133
37	0.302677	7500	-1.616588	-91.161721
38	0.290619	7500	-1.611985	-92.773706
39	0.278855	7500	-1.603655	-94.377362
40	0.267381	7500	-1.588661	-95.966022
41	0.256195	7500	-1.529258	-97.495281
42	0.245294	7500	-1.502852	-98.998133
43	0.234677	7500	-1.457460	-100.455592
44	0.224340	7500	-1.422429	-101.878021
45	0.214281	7500	-1.377251	-103.255272
46	0.204498	7500	-1.340473	-104.595745
47	0.194988	7500	-1.325415	-105.921160
48	0.185749	7500	-1.285405	-107.206565
49	0.176777	7500	-1.253601	-108.460166
50	0.168070	7500	-1.212264	-109.672430
51	0.159626	7500	-1.187487	-110.859917
52	0.151441	7500	-1.145453	-112.005370
53	0.143514	7500	-1.100743	-113.106113
54	0.135841	7500	-1.072693	-114.178806
55	0.128420	7500	-1.046152	-115.224959
56	0.121247	7500	-1.019036	-116.243995
57	0.114320	7500	-0.971902	-117.215897
58	0.107637	7500	-0.949817	-118.165714
59	0.101193	7500	-0.917663	-119.083377
60	0.094986	7500	-0.889939	-119.973316
61	0.089014	7500	-0.853389	-120.826705
62	0.083273	7500	-0.831681	-121.658386
63	0.077760	7500	-0.791063	-122.449449
64	0.072472	7500	-0.778275	-123.227724
65	0.067406	7500	-0.736670	-123.964394
66	0.062558	7500	-0.705234	-124.669628
67	0.057926	7500	-0.674876	-125.344504
68	0.053506	7500	-0.673438	-126.017942
69	0.049295	7500	-0.649635	-126.667578
70	0.045289	7500	-0.598945	-127.266523
71	0.041485	7500	-0.579885	-127.846408
72	0.037880	7500	-0.541235	-128.387643
73	0.034469	7500	-0.536054	-128.923697
74	0.031250	7500	-0.512940	-129.436637
75	0.028218	7500	-0.484025	-129.920662
76	0.025370	7500	-0.458117	-130.378779
77	0.022702	7500	-0.427841	-130.806619
78	0.020209	7500	-0.418877	-131.225496
79	0.017889	7500	-0.384564	-131.610060
80	0.015736	7500	-0.368725	-131.978785
81	0.013746	7500	-0.353622	-132.332407
82	0.011916	7500	-0.336500	-132.668907
83	0.010240	7500	-0.325238	-132.994145
84	0.008714	7500	-0.289932	-133.284077
85	0.007334	7500	-0.261766	-133.545844
86	0.006093	7500	-0.290877	-133.836721
87	0.004988	7500	-0.241106	-134.077827
88	0.004013	7500	-0.216075	-134.293902
89	0.003162	7500	-0.192898	-134.486800
90	0.002430	7500	-0.179806	-134.666607
91	0.001810	7500	-0.148766	-134.815373
92	0.001296	7500	-0.133873	-134.949246
93	0.000882	7500	-0.111730	-135.060976
94	0.000559	7500	-0.095213	-135.156190
95	0.000320	7500	-0.073074	-135.229264
96	0.000156	7500	-0.047476	-135.276739
97	0.000057	7500	-0.029653	-135.306393
98	0.000010	7500	-0.013282	-135.319675
99	0.000000	7500	-0.002303	-135.321978
Log marginal likelihood:	-135.321978
