Steppingstone sampler:
        No Stones:                  100
        Start It:                   10100001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	-3.329211	-3.329211
1	0.950747	7500	-3.303898	-6.633109
2	0.926679	7500	-3.319492	-9.952602
3	0.902980	7500	-3.258288	-13.210889
4	0.879648	7500	-3.221575	-16.432464
5	0.856682	7500	-3.175530	-19.607994
6	0.834079	7500	-3.073162	-22.681156
7	0.811838	7500	-2.993574	-25.674730
8	0.789957	7500	-2.964193	-28.638923
9	0.768433	7500	-2.907755	-31.546678
10	0.747266	7500	-2.911555	-34.458233
11	0.726452	7500	-2.874845	-37.333078
12	0.705989	7500	-2.829760	-40.162838
13	0.685877	7500	-2.782911	-42.945748
14	0.666112	7500	-2.746243	-45.691991
15	0.646693	7500	-2.654651	-48.346642
16	0.627618	7500	-2.583154	-50.929796
17	0.608884	7500	-2.615670	-53.545467
18	0.590490	7500	-2.549557	-56.095023
19	0.572433	7500	-2.527584	-58.622608
20	0.554712	7500	-2.471593	-61.094201
21	0.537324	7500	-2.439885	-63.534086
22	0.520268	7500	-2.370450	-65.904536
23	0.503540	7500	-2.332690	-68.237226
24	0.487139	7500	-2.307666	-70.544892
25	0.471063	7500	-2.245412	-72.790305
26	0.455310	7500	-2.216601	-75.006906
27	0.439877	7500	-2.151453	-77.158359
28	0.424762	7500	-2.107644	-79.266003
29	0.409963	7500	-2.079588	-81.345591
30	0.395478	7500	-1.992303	-83.337894
31	0.381305	7500	-1.972386	-85.310280
32	0.367440	7500	-1.959514	-87.269794
33	0.353883	7500	-1.913826	-89.183619
34	0.340630	7500	-1.864740	-91.048359
35	0.327680	7500	-1.834512	-92.882871
36	0.315030	7500	-1.786701	-94.669572
37	0.302677	7500	-1.742843	-96.412415
38	0.290619	7500	-1.699873	-98.112288
39	0.278855	7500	-1.672984	-99.785272
40	0.267381	7500	-1.618896	-101.404169
41	0.256195	7500	-1.596655	-103.000824
42	0.245294	7500	-1.550955	-104.551779
43	0.234677	7500	-1.517542	-106.069321
44	0.224340	7500	-1.466941	-107.536262
45	0.214281	7500	-1.459453	-108.995715
46	0.204498	7500	-1.389460	-110.385176
47	0.194988	7500	-1.368209	-111.753385
48	0.185749	7500	-1.318922	-113.072307
49	0.176777	7500	-1.292836	-114.365143
50	0.168070	7500	-1.252576	-115.617719
51	0.159626	7500	-1.220189	-116.837909
52	0.151441	7500	-1.184038	-118.021947
53	0.143514	7500	-1.152757	-119.174704
54	0.135841	7500	-1.118908	-120.293612
55	0.128420	7500	-1.099789	-121.393400
56	0.121247	7500	-1.050224	-122.443624
57	0.114320	7500	-1.016581	-123.460205
58	0.107637	7500	-0.986364	-124.446569
59	0.101193	7500	-0.954106	-125.400676
60	0.094986	7500	-0.912328	-126.313004
61	0.089014	7500	-0.886489	-127.199492
62	0.083273	7500	-0.851852	-128.051344
63	0.077760	7500	-0.825707	-128.877051
64	0.072472	7500	-0.796187	-129.673238
65	0.067406	7500	-0.763955	-130.437193
66	0.062558	7500	-0.734560	-131.171753
67	0.057926	7500	-0.711586	-131.883339
68	0.053506	7500	-0.684034	-132.567373
69	0.049295	7500	-0.672857	-133.240231
70	0.045289	7500	-0.608004	-133.848235
71	0.041485	7500	-0.596271	-134.444506
72	0.037880	7500	-0.584671	-135.029177
73	0.034469	7500	-0.567582	-135.596759
74	0.031250	7500	-0.522954	-136.119713
75	0.028218	7500	-0.493685	-136.613398
76	0.025370	7500	-0.482941	-137.096339
77	0.022702	7500	-0.445516	-137.541854
78	0.020209	7500	-0.438972	-137.980826
79	0.017889	7500	-0.410382	-138.391208
80	0.015736	7500	-0.369118	-138.760325
81	0.013746	7500	-0.339113	-139.099439
82	0.011916	7500	-0.330805	-139.430243
83	0.010240	7500	-0.310686	-139.740929
84	0.008714	7500	-0.316044	-140.056973
85	0.007334	7500	-0.283637	-140.340611
86	0.006093	7500	-0.277467	-140.618077
87	0.004988	7500	-0.243871	-140.861948
88	0.004013	7500	-0.235104	-141.097052
89	0.003162	7500	-0.243113	-141.340166
90	0.002430	7500	-0.156090	-141.496256
91	0.001810	7500	-0.169513	-141.665769
92	0.001296	7500	-0.128640	-141.794409
93	0.000882	7500	-0.113136	-141.907545
94	0.000559	7500	-0.108838	-142.016383
95	0.000320	7500	-0.077926	-142.094309
96	0.000156	7500	-0.054675	-142.148984
97	0.000057	7500	-0.032780	-142.181765
98	0.000010	7500	-0.014107	-142.195872
99	0.000000	7500	-0.002939	-142.198810
Log marginal likelihood:	-142.198810
